model,MAE,RMSE,R2,train_time_s,inference_time_s,inference_time_per_sample_s,n_features,removed_low_variance_columns,search_strategy,selected_by,n_configs_evaluated,search_time_s,approach,source_run_id,train_time_source,h2o_leader_model_id,automl_tool,run_project_name,trial_number,model_short,params_json,subset,rank_RMSE,rank_MAE,rank_R2,rank_train_time_s,rank_inference_time_s,is_pareto_optimal
LightGBM,26.816648037674373,37.69927794981991,0.5219273041860353,1.0933181000000332,0.0031949000040185,1.2882661306526466e-05,25,,limited_random_search,RMSE_validation,20.0,21.636170600002515,Traditional baseline,FD004_baseline,,,,,,LightGBM,,FD004,1,1,1,10,10,True
LightGBM_NSGA2_trial_54,28.36657886865141,37.723714817724186,0.521307324901944,1.288025000001653,0.0026201000000583,1.0564919355073794e-05,25,,,,,61.35505849999754,NSGA-II,FD004_nsga2_60trials,,,,,54.0,LightGBM NSGA-II T54,"{""colsample_bytree"": 0.6296178606936361, ""learning_rate"": 0.017987863473362915, ""max_depth"": 12, ""n_estimators"": 203, ""num_leaves"": 53, ""reg_alpha"": 0.04264813784432918, ""reg_lambda"": 1.1036250149900698e-07, ""subsample"": 0.9085081386743783}",FD004,2,5,2,13,8,True
ExtraTrees,27.218999118140317,37.73766223126585,0.5209532898355975,17.51822810000158,0.1041447999959928,0.0004199387096612,25,,limited_random_search,RMSE_validation,12.0,173.06169879999652,Traditional baseline,FD004_baseline,,,,,,ExtraTrees,,FD004,3,3,3,15,15,False
StackedEnsemble_AllModels_1_AutoML_1_20260602_104941,26.830737474973976,37.77721650054237,0.5199485496537339,3.256,0.2286782000010134,0.0009220895161331,25,,,,,4165.821960500005,H2O AutoML,FD004_h2o_30models,leaderboard_training_time_ms,StackedEnsemble_AllModels_1_AutoML_1_20260602_104941,H2OAutoML,cmapss_FD004_h2o_maxmodels_30_seed_42_final,,H2O Stacked Ensemble,,FD004,4,2,4,14,16,False
HistGradientBoosting,28.624886534680243,38.57183322612654,0.4995410774296908,1.2172492000026978,0.0053741000010631,2.1669758068803215e-05,25,,limited_random_search,RMSE_validation,20.0,22.12712779999856,Traditional baseline,FD004_baseline,,,,,,HistGradientBoosting,,FD004,5,8,5,11,13,False
XGBoost,27.426362991333008,38.57489101471157,0.4994617104530334,1.2506431000001612,0.0033220999976038,1.3395564506466936e-05,25,,limited_random_search,RMSE_validation,20.0,26.534577899998112,Traditional baseline,FD004_baseline,,,,,,XGBoost,,FD004,6,4,6,12,11,False
RandomForest,28.829888250953083,39.0040462791928,0.4882625483755302,33.59110010000586,0.0572156999987782,0.000230708467737,25,,limited_random_search,RMSE_validation,12.0,383.7944934000043,Traditional baseline,FD004_baseline,,,,,,RandomForest,,FD004,7,10,7,16,14,False
LightGBM_NSGA2_trial_57,28.811117697329998,39.05623285798698,0.4868922447633308,0.8376533999980893,0.0028390000006766,1.144758064788954e-05,25,,,,,61.35505849999754,NSGA-II,FD004_nsga2_60trials,,,,,57.0,LightGBM NSGA-II T57,"{""colsample_bytree"": 0.7085396127095583, ""learning_rate"": 0.026332779906149555, ""max_depth"": 12, ""n_estimators"": 262, ""num_leaves"": 20, ""reg_alpha"": 7.374385355858303e-06, ""reg_lambda"": 3.425445902633376e-07, ""subsample"": 0.9085081386743783}",FD004,8,9,8,9,9,True
LightGBM_NSGA2_trial_14,30.106777002794168,39.23672360689184,0.4821388321319215,0.7815247000035015,0.0024193999997805,9.755645160405568e-06,25,,,,,61.35505849999754,NSGA-II,FD004_nsga2_60trials,,,,,14.0,LightGBM NSGA-II T14,"{""colsample_bytree"": 0.7085396127095583, ""learning_rate"": 0.017987863473362915, ""max_depth"": 16, ""n_estimators"": 262, ""num_leaves"": 17, ""reg_alpha"": 0.04264813784432918, ""reg_lambda"": 1.6247252885719427e-05, ""subsample"": 0.9329770563201687}",FD004,9,13,9,7,6,True
LightGBM_NSGA2_trial_51,30.78493053166244,39.23793529397096,0.4821068470262842,0.5999209000001429,0.0024533000032533,9.892338722795924e-06,25,,,,,61.35505849999754,NSGA-II,FD004_nsga2_60trials,,,,,51.0,LightGBM NSGA-II T51,"{""colsample_bytree"": 0.7085396127095583, ""learning_rate"": 0.017987863473362915, ""max_depth"": 16, ""n_estimators"": 203, ""num_leaves"": 18, ""reg_alpha"": 2.1841779839273957e-05, ""reg_lambda"": 1.6247252885719427e-05, ""subsample"": 0.9085081386743783}",FD004,10,14,10,5,7,True
LightGBM_NSGA2_trial_59,30.08167232387382,39.24963903305645,0.4817978506298308,0.7896305999965989,0.003328099999635,1.3419758063044417e-05,25,,,,,61.35505849999754,NSGA-II,FD004_nsga2_60trials,,,,,59.0,LightGBM NSGA-II T59,"{""colsample_bytree"": 0.6296178606936361, ""learning_rate"": 0.017987863473362915, ""max_depth"": 12, ""n_estimators"": 262, ""num_leaves"": 18, ""reg_alpha"": 7.374385355858303e-06, ""reg_lambda"": 1.6247252885719427e-05, ""subsample"": 0.9329770563201687}",FD004,11,12,11,8,12,False
LightGBM_NSGA2_trial_41,28.89898949030349,39.30685591368446,0.4802859120437497,0.6762997999976506,0.0020965000003343,8.45362903360623e-06,25,,,,,61.35505849999754,NSGA-II,FD004_nsga2_60trials,,,,,41.0,LightGBM NSGA-II T41,"{""colsample_bytree"": 0.6296178606936361, ""learning_rate"": 0.04407984038169244, ""max_depth"": 12, ""n_estimators"": 203, ""num_leaves"": 18, ""reg_alpha"": 7.374385355858303e-06, ""reg_lambda"": 1.1036250149900698e-07, ""subsample"": 0.9085081386743783}",FD004,12,11,12,6,3,True
LightGBM_NSGA2_trial_27,28.49962459309576,39.58321293029235,0.472952253139324,0.4042403000057675,0.0018433000004733,7.432661292231417e-06,25,,,,,61.35505849999754,NSGA-II,FD004_nsga2_60trials,,,,,27.0,LightGBM NSGA-II T27,"{""colsample_bytree"": 0.6557975442608167, ""learning_rate"": 0.11506408247250169, ""max_depth"": 4, ""n_estimators"": 203, ""num_leaves"": 61, ""reg_alpha"": 0.0007250347382396634, ""reg_lambda"": 1.1036250149900698e-07, ""subsample"": 0.8447411578889518}",FD004,13,7,13,3,2,True
LightGBM_NSGA2_trial_37,28.394994360286017,39.73471914639837,0.4689099422573679,0.5775064999979804,0.0021971000023768,8.859274203132372e-06,25,,,,,61.35505849999754,NSGA-II,FD004_nsga2_60trials,,,,,37.0,LightGBM NSGA-II T37,"{""colsample_bytree"": 0.8650089137415928, ""learning_rate"": 0.11107120377605907, ""max_depth"": 4, ""n_estimators"": 262, ""num_leaves"": 94, ""reg_alpha"": 7.374385355858303e-06, ""reg_lambda"": 1.6247252885719427e-05, ""subsample"": 0.9085081386743783}",FD004,14,6,14,4,5,False
Ridge,38.31543054500729,46.79123263917681,0.2635269686377248,0.0457153000024845,0.0018079000001307,7.289919355365958e-06,25,,limited_random_search,RMSE_validation,4.0,0.173774199996842,Traditional baseline,FD004_baseline,,,,,,Ridge,,FD004,15,15,15,1,1,True
LightGBM_NSGA2_trial_53,42.90047758983616,51.33729454334901,0.1134691939362053,0.3554401000001235,0.0021368000016082,8.616129038742773e-06,25,,,,,61.35505849999754,NSGA-II,FD004_nsga2_60trials,,,,,53.0,LightGBM NSGA-II T53,"{""colsample_bytree"": 0.6557975442608167, ""learning_rate"": 0.017987863473362915, ""max_depth"": 1, ""n_estimators"": 203, ""num_leaves"": 17, ""reg_alpha"": 0.04264813784432918, ""reg_lambda"": 1.6247252885719427e-05, ""subsample"": 0.9329770563201687}",FD004,16,16,16,2,4,False
